model,k,answer,top1,correct,top1_is_candidate,rank_of_answer,rank_within_candidates,answer_in_train_targets
tree_salet_endgame,1,GUILD,QUILL,False,False,22,1,True
tree_salet_endgame,1,HAIRY,HANDY,False,False,6,1,True
tree_salet_endgame,1,HAPPY,APHID,False,False,146,1,False
tree_salet_endgame,1,HARDY,CARRY,False,False,58,1,True
tree_salet_endgame,1,HELLO,DELAY,False,False,2,1,True
tree_salet_endgame,1,HOARD,WAGON,False,False,4,1,True
tree_salet_endgame,1,HORDE,HOVER,False,False,32,1,False
tree_salet_endgame,1,HUMUS,HUMUS,True,True,1,1,True
tree_salet_endgame,1,HUNCH,CONCH,False,False,30,1,True
tree_salet_endgame,1,INERT,ENTRY,False,False,46,1,True
tree_salet_endgame,2,AFIRE,AMBLE,False,False,29,1,True
tree_salet_endgame,2,AFOUL,AFOUL,True,True,1,1,True
tree_salet_endgame,2,AGING,AGING,True,True,1,1,True
tree_salet_endgame,2,ALTAR,BLARE,False,False,558,2,False
tree_salet_endgame,2,BRAKE,BRAVE,False,False,4,1,True
tree_salet_endgame,2,CADDY,CHAFF,False,False,23,2,True
tree_salet_endgame,2,CHUMP,CHUCK,False,True,2,2,True
tree_salet_endgame,2,CLOVE,CLOVE,True,True,1,1,True
tree_salet_endgame,2,CLUMP,CLICK,False,False,6,2,True
tree_salet_endgame,2,CUBIC,CHICK,False,False,10,2,True
tree_salet_endgame,2,DEBIT,DEBUT,False,True,13,2,False
tree_salet_endgame,2,DEPOT,METRO,False,False,252,2,False
tree_salet_endgame,2,DEPTH,DEPTH,True,True,1,1,True
tree_salet_endgame,2,DOWDY,WOODY,False,False,6,1,True
tree_salet_endgame,2,DRUID,BRICK,False,False,5,1,True
tree_salet_endgame,2,ERODE,DROVE,False,True,227,2,False
tree_salet_endgame,2,ETUDE,THREE,False,False,7,1,True
tree_salet_endgame,2,FAIRY,ABYSS,False,False,60,2,True
tree_salet_endgame,2,FECAL,DECAL,False,True,25,2,True
tree_salet_endgame,2,FEMUR,FEMUR,True,True,1,1,True
tree_salet_endgame,2,FIGHT,IDIOT,False,False,22,1,True
tree_salet_endgame,2,FLASK,BASAL,False,False,10,2,True
tree_salet_endgame,2,FLOCK,BLOCK,False,True,57,2,True
tree_salet_endgame,2,FORTH,MOTOR,False,False,12,1,True
tree_salet_endgame,2,FRESH,HERSE,False,False,2,1,True
tree_salet_endgame,2,GRAZE,GRAPE,False,True,18,2,False
tree_salet_endgame,2,HELLO,MEDAL,False,False,148,2,True
tree_salet_endgame,2,HOARD,MORIA,False,False,24,2,True
tree_salet_endgame,2,HOMER,HOVER,False,True,10,2,True
tree_salet_endgame,2,IGLOO,IDIOM,False,False,28,1,False
tree_salet_endgame,3,ADMIT,AMITY,False,False,34,2,True
tree_salet_endgame,3,BEGAN,INANE,False,False,18,2,True
tree_salet_endgame,3,BENCH,PENNY,False,True,12,2,True
tree_salet_endgame,3,BROOD,ROWDY,False,False,2,1,True
tree_salet_endgame,3,BUILD,FLUID,False,False,41,1,True
tree_salet_endgame,3,CUMIN,CINCH,False,True,111,3,True
tree_salet_endgame,3,DEUCE,UNFED,False,False,90,2,True
tree_salet_endgame,3,ETHIC,FETID,False,False,2,1,True
tree_salet_endgame,3,EVOKE,COUPE,False,False,52,3,True
tree_salet_endgame,3,FALSE,ABASE,False,False,1050,3,False
tree_salet_endgame,3,FRILL,BRILL,False,False,2,1,True
tree_salet_endgame,3,GOING,BONGO,False,True,381,3,False
tree_salet_endgame,3,GUILD,FLUID,False,False,308,3,True
tree_salet_endgame,3,JUICY,WHIFF,False,False,18,2,True
tree_salet_endgame,3,KRILL,BRILL,False,False,226,3,False
tree_salet_endgame,3,NYMPH,NYMPH,True,True,1,1,True
tree_salet_endgame,3,REGAL,FLARE,False,False,46,1,True
tree_salet_endgame,3,RETRO,OUTER,False,False,3554,3,False
tree_salet_endgame,3,SPITE,SPICE,False,True,108,3,True
tree_salet_endgame,3,STORY,STORK,False,True,45,3,False
tree_salet_endgame,3,TASTY,ASSAY,False,False,57,3,False
tree_salet_endgame,3,TEPEE,THYME,False,True,19,2,True
tree_salet_endgame,3,THUMB,THUMB,True,True,1,1,True
tree_salet_endgame,3,UPSET,QUITE,False,False,166,3,False
tree_salet_endgame,3,VIPER,BITTY,False,False,290,2,False
tree_salet_endgame,3,WIDOW,IDIOM,False,False,338,3,False
tree_salet_endgame,3,WINCH,NINJA,False,False,8,2,False
tree_salet,1,ABOVE,ABODE,False,False,186,1,True
tree_salet,1,ACORN,ACORN,True,True,1,1,True
tree_salet,1,AGAIN,BINGY,False,False,88,1,True
tree_salet,1,AGREE,DRAPE,False,False,3,1,True
tree_salet,1,AMBLE,AMBLE,True,True,1,1,True
tree_salet,1,AROMA,FORAY,False,False,2,1,True
tree_salet,1,ARSON,ARTSY,False,False,2,1,True
tree_salet,1,ATTIC,MITCH,False,False,3,1,False
tree_salet,1,AWOKE,AGILE,False,False,4,1,False
tree_salet,1,AXIOM,ADOPT,False,False,40,1,False
tree_salet,1,BAYOU,WOODY,False,False,96,1,True
tree_salet,1,BLEAT,BLEAT,True,True,1,1,True
tree_salet,1,BLOOM,BLOOM,True,True,1,1,True
tree_salet,1,BLUER,BLUER,True,True,1,1,True
tree_salet,1,BLUNT,BLUNT,True,True,1,1,True
tree_salet,1,BOSSY,BOOZY,False,False,2,1,False
tree_salet,1,BOULE,OUTER,False,False,218,1,True
tree_salet,1,BRASS,BRASS,True,True,1,1,True
tree_salet,1,BRAVE,BRAVE,True,True,1,1,True
tree_salet,1,BROOD,DROOP,False,False,18,1,True
tree_salet,1,BROTH,BROTH,True,True,1,1,True
tree_salet,1,BYLAW,YOUNG,False,False,317,1,False
tree_salet,1,CADDY,CACKY,False,False,8,1,True
tree_salet,1,CAPUT,CACTI,False,False,14,1,True
tree_salet,1,CATER,CATER,True,True,1,1,True
tree_salet,1,CHAFE,WHACK,False,False,66,1,True
tree_salet,1,CHOIR,CRICK,False,False,11,1,True
tree_salet,1,CHUMP,CHUCK,False,False,3,1,True
tree_salet,1,CIRCA,CHAIR,False,False,43,1,True
tree_salet,1,CLAMP,CLACK,False,False,2,1,False
tree_salet,1,CLONE,CLONE,True,True,1,1,True
tree_salet,1,CLUMP,CLUMP,True,True,1,1,True
tree_salet,1,COACH,BONGO,False,False,2,1,True
tree_salet,1,COVET,BOOTH,False,False,4,1,True
tree_salet,1,CRAWL,CRAMP,False,False,6,1,True
tree_salet,1,CREST,CREST,True,True,1,1,True
tree_salet,1,CRIED,CREED,False,False,2,1,True
tree_salet,1,CRUMP,CRUMB,False,False,2,1,True
tree_salet,1,CUBIC,CHICK,False,False,69,1,True
tree_salet,1,CUMIN,CLICK,False,False,78,1,True
tree_salet,1,CURSE,CRUSE,False,False,2,1,True
tree_salet,1,DAISY,ABYSS,False,False,31,1,True
tree_salet,1,DEPTH,DETER,False,False,5,1,True
tree_salet,1,DICEY,DELVE,False,False,15,1,True
tree_salet,1,DRUID,RIVER,False,False,534,1,True
tree_salet,1,ENDOW,ENVOY,False,False,2,1,False
tree_salet,1,ERODE,ROUTE,False,False,14,1,False
tree_salet,1,ETHIC,EIGHT,False,False,8,1,True
tree_salet,1,ETUDE,TEUCH,False,False,17,1,True
tree_salet,1,EVERY,MERGE,False,False,556,1,True
tree_salet,1,EVOKE,JOKER,False,False,339,1,True
tree_salet,1,EXCEL,FLICK,False,False,115,1,True
tree_salet,1,FAIRY,WARTY,False,False,2,1,True
tree_salet,1,FALSE,LEASE,False,False,186,1,False
tree_salet,1,FECAL,MEALY,False,False,41,1,True
tree_salet,1,FIFTY,WITTY,False,False,43,1,False
tree_salet,1,FLASK,FLASK,True,True,1,1,True
tree_salet,1,FLOCK,LOGIC,False,False,14,1,True
tree_salet,1,FOLLY,FOLLY,True,True,1,1,True
tree_salet,1,FRILL,FLIRT,False,False,3,1,True
tree_salet,1,FRISK,FRISK,True,True,1,1,True
tree_salet,1,FROWN,HORNY,False,False,30,1,True
tree_salet,1,GAMER,MAIZE,False,False,7,1,True
tree_salet,1,GEEKY,WEEPY,False,False,329,1,False
tree_salet,1,GLAZE,GLADE,False,False,2,1,False
tree_salet,1,GLEAM,FEHME,False,False,557,1,False
tree_salet,1,GOING,BOING,False,False,8,1,False
tree_salet,1,GOUGE,BUMPH,False,False,824,1,True
tree_salet,1,GRAZE,GRACE,False,False,7,1,False
tree_salet,1,GROSS,HORNS,False,False,76,1,False
tree_salet,1,GUILD,UNION,False,False,123,1,True
tree_salet,1,HAIRY,HABIT,False,False,3,1,True
tree_salet,1,HAPPY,PUPPY,False,False,32,1,False
tree_salet,1,HARDY,BRAWN,False,False,119,1,True
tree_salet,1,HELLO,BLESS,False,False,14,1,True
tree_salet,1,HOARD,FORAY,False,False,2,1,True
tree_salet,1,HORDE,HOVER,False,False,6,1,False
tree_salet,1,HUMUS,WHIDS,False,False,38,1,True
tree_salet,1,HUNCH,CONCH,False,False,126,1,True
tree_salet,1,INERT,BETTY,False,False,111,1,True
tree_salet,2,AFIRE,AFIRE,True,True,1,1,True
tree_salet,2,AFOUL,ALONG,False,False,9,1,True
tree_salet,2,AGING,BINGY,False,False,2,1,True
tree_salet,2,ALTAR,FRANK,False,False,249,2,False
tree_salet,2,BRAKE,PRUNE,False,False,17,2,True
tree_salet,2,CADDY,CAMPI,False,False,19,2,True
tree_salet,2,CHUMP,COMIC,False,False,11,2,True
tree_salet,2,CLOVE,LOOPY,False,False,5,2,True
tree_salet,2,CLUMP,CLUCK,False,True,3,2,True
tree_salet,2,CUBIC,CIVIC,False,True,27,2,True
tree_salet,2,DEBIT,DEIFY,False,False,21,2,False
tree_salet,2,DEPOT,TEUCH,False,False,206,2,False
tree_salet,2,DEPTH,DETER,False,False,2,1,True
tree_salet,2,DOWDY,BOODY,False,False,6,1,True
tree_salet,2,DRUID,CHIRP,False,False,1393,2,True
tree_salet,2,ERODE,DROVE,False,True,16,2,False
tree_salet,2,ETUDE,TEUCH,False,False,22,1,True
tree_salet,2,FAIRY,AGILE,False,False,35,2,True
tree_salet,2,FECAL,CALIF,False,False,23,2,True
tree_salet,2,FEMUR,FEMUR,True,True,1,1,True
tree_salet,2,FIGHT,BITTY,False,False,30,1,True
tree_salet,2,FLASK,BLAST,False,True,14,2,True
tree_salet,2,FLOCK,COLON,False,False,155,2,True
tree_salet,2,FORTH,TROTH,False,False,24,2,True
tree_salet,2,FRESH,HEWER,False,False,9,1,True
tree_salet,2,GRAZE,GRAPE,False,True,45,2,False
tree_salet,2,HELLO,FEHME,False,False,281,2,True
tree_salet,2,HOARD,HONDA,False,False,3,1,True
tree_salet,2,HOMER,HOVER,False,True,15,2,True
tree_salet,2,IGLOO,BLOOM,False,False,68,1,False
tree_salet,3,ADMIT,AWAIT,False,False,74,3,True
tree_salet,3,BEGAN,MEDAL,False,False,37,2,True
tree_salet,3,BENCH,PENNE,False,False,80,2,True
tree_salet,3,BROOD,WORRY,False,False,22,3,True
tree_salet,3,BUILD,BILLY,False,False,60,1,True
tree_salet,3,CUMIN,CINCH,False,True,196,3,True
tree_salet,3,DEUCE,BUMPH,False,False,150,2,True
tree_salet,3,ETHIC,BETTY,False,False,19,1,True
tree_salet,3,EVOKE,COUPE,False,False,450,3,True
tree_salet,3,FALSE,AGILE,False,False,829,3,False
tree_salet,3,FRILL,FLIRT,False,False,2,1,True
tree_salet,3,GOING,BONGO,False,True,422,3,False
tree_salet,3,GUILD,BILLY,False,False,608,3,True
tree_salet,3,JUICY,PIZZA,False,False,28,1,True
tree_salet,3,KRILL,FLIRT,False,False,134,3,False
tree_salet,3,NYMPH,NYMPH,True,True,1,1,True
tree_salet,3,REGAL,RELAX,False,False,25,2,True
tree_salet,3,RETRO,OUTER,False,False,2274,3,False
tree_salet,3,SPITE,SPICE,False,True,23,3,True
tree_salet,3,STORY,STORK,False,True,19,3,False
tree_salet,3,TASTY,ABYSS,False,False,26,3,False
tree_salet,3,TEPEE,TEDDY,False,False,178,3,True
tree_salet,3,THUMB,PUDGE,False,False,155,2,True
tree_salet,3,UPSET,UNSET,False,True,97,2,False
tree_salet,3,VIPER,BITER,False,False,519,2,False
tree_salet,3,WIDOW,BONGO,False,False,442,1,False
tree_salet,3,WINCH,PINCH,False,True,4,2,False
